Query,Response
"In the context of Certification Declaration (CD), what is a CD?",A cryptographic document that allows a Matter device to assert its protocol compliance.
What is the purpose of the NOCStruct type?,"The NOCStruct type encodes a fabric-sensitive NOC chain, underpinning a commissioned Operational Identity for a given Node. It contains fields such as NOC (for the NOC associated with the fabric) and ICAC (for the ICAC associated with the fabric)."
acronym of  BDX ,Bulk Data Exchange
What action can a subscriber take upon discovering loss of synchronization?,"Upon discovering loss of synchronization, a subscriber may initiate a re-subscription to resume the subscription."
What is the purpose of the open-source project DCL?,"The DCL, an open-source project, serves as a data repository for device models' information and their compliance status. Additionally, it acts as a secure distribution point for device metadata provided by vendors and Product Attestation Authorities certificates."
What outcomes can occur when the RemoveFabric command is executed?,"Depending on the context, the device either deletes all Matter related data on the node or begins the process of irrevocably deleting associated Fabric-Scoped data."
How does a binding function in relation to endpoints?,"A binding directs a local endpoint to a target endpoint or cluster on another endpoint, allowing a client to interact with the target endpoint."
What does the IsOperational field indicate in the NetworkInterface Type structure?,The IsOperational field indicates if the Node is currently advertising itself operationally on this network interface and is capable of successfully receiving incoming traffic from other Nodes.
What is User Directed Commissioning (UDC)?,UDC is a process where the Commissionee initiates commissioning by sending a message to the Commissioner.
What data fields does the ActionFailed event have?,"The ActionFailed event has ActionID, InvokeID, NewState, and Error as its data fields."
How are standard DN attributes represented in a Matter certificate?,Standard DN attributes used in a Matter certificate are represented by context-specific tags logically-ORed with 0x80 to indicate the PrintableString format.
What is the Cluster ID of the Fixed Label Cluster?,The Cluster ID of the Fixed Label Cluster is 0x0040.
What does the Proxy Discovery & Assignment Flow describe?,"It describes the process by which a client discovers that a source needs a proxy, finds an appropriate proxy on the network, and sets up the proxy to subscribe to the source."
What does the Order Attribute indicate?,It indicates the relative preference with which the Node will select this source to provide power.
How are PAKE key identifiers and CASE Authenticated Tags used?,"These subranges of Node ID assign access control subjects to specific PAKE keys or groups of peer nodes sharing a single CASE session, respectively, for access control and administrative purposes."
What is the significance of Fabric ID 0?,Fabric ID 0 is reserved across all fabric root public key scopes and shall not be used as the identifier of a fabric.
What is recommended during commissioning regarding time synchronization?,"During commissioning, the Commissioner should set the UTCTime and set up the TrustedTimeSource, DefaultNTP, TimeZone, and DSTOffsets as required. However, the Commissioner may opt not to set the time, so the node should not depend on having time during commissioning."
What is the function of the 'RemoveNetwork' command?,The 'RemoveNetwork' command removes a network configuration from the server.
What is the significance of the MaxGroupKeysPerFabric attribute?,The MaxGroupKeysPerFabric attribute specifies the maximum number of group key sets that a node supports per fabric.
What is the purpose of the DelayedActionTime field in a QueryImageResponse with a Status of Busy?,The DelayedActionTime field in a QueryImageResponse with a Status of Busy conveys the minimum time to wait before sending another QueryImage command or beginning a download from the OTA Provider (Section QueryImageResponse Command).
What is SuppressResponse used for?,SuppressResponse is a boolean tag indicating whether to suppress the response message.
What is the purpose of the AccessControlTargetStruct type?,"The AccessControlTargetStruct type is used to specify targets for access control entries, such as clusters, endpoints, or device types, defining the entities to which access control privileges apply."
"How are session identifiers chosen for secure unicast sessions in unicast communication, as per the specification?","For secure unicast sessions, both CASE and PASE allow each participant to choose a unicast session identifier for the subsequent encrypted session. The chosen session identifier must be unique and not overlap with other active sessions."
How is the BTP GATT service structured and what characteristics does it consist of?,"The BTP GATT service consists of three characteristics: C1, C2, and C3. C1 is the Characteristic for the Client TX Buffer, used by the client to initiate BTP sessions and send data to the server. C2 is the Characteristic for the Client RX Buffer, used by the server to respond to BTP handshake requests and send data to the client. C3 is an optional Characteristic for additional commissioning-related data."
"What does the value ""Active"" indicate in the PowerSourceStatusEnum type?",It indicates that the source is available and currently supplying power.
How are Unsigned Integer data types defined and their ranges specified?,"Unsigned Integer data types are defined with various bit widths (8-bit to 64-bit) and have a usable range of [0..2^N-1] if not nullable or [0..2^N-2] if nullable, with specific minimum and maximum values for each width."
What does the Interaction Model specify regarding privileges and actions?,"The Interaction Model specifies which privilege is required for each data element and how each action is processed, both for request and response. It includes details on how Access Control is used to determine whether to allow or deny the request, and this determination is based on the required privilege for the action and the set of granted privileges for the action, considering the request path and requesting subject."
What protocols does Matter support for Commissionable Node Discovery?,"Matter supports UDP and TCP for Commissionable Node Discovery, both for Commissionees already on the customer’s IP network and for Commissionees in conjunction with Wi-Fi Soft-AP."
How is the Rotating Device Identifier generated?,"The Rotating Device Identifier employs a key derivation algorithm that combines a monotonically increasing lifetime counter with a unique per-device identifier, ensuring security and privacy requirements."
How does Matter ensure security?,Matter leverages modern security practices and protocols to ensure the security of smart home devices and interactions.
What does the StopAction command do?,"The StopAction command stops the ongoing action on the involved endpoints, and afterward, the action's state becomes Inactive."
What should an OTA Provider do in case of a BDX transfer aborted due to unforeseen circumstances?,"In case of a BDX transfer aborted due to unforeseen circumstances, the OTA Provider should validate the length and digest of proxied images whenever possible to avoid continuing a transfer if the data is corrupted (Section OTA Software Image transfer examples)."
Can you provide an example of constructing the Privacy Nonce?,"For example, if the Session ID is 42 (0x002A) and the computed MIC is c5:a0:06:3a:d5:d2:51:81:91:40:0d:d6:8c:5c:16:3b, the PrivacyNonce would be constructed by concatenating ""00:2a"" with ""d2:51:81:91:40:0d:d6:8c:5c:16:3b"", resulting in ""00:2a:d2:51:81:91:40:0d:d6:8c:5c:16:3b""."
Which context-specific tag is used to identify the future extension entry in the Matter certificate extensions list?,The context-specific tag future-extension [6] is used to identify all future extension entries in the Matter certificate extensions list.
How does the responder verify TBEData3.initiatorNOC in CASE?,"The responder verifies TBEData3.initiatorNOC using the Crypto_VerifyChain function with the appropriate certificates, depending on the presence of initiatorICAC."
What alphabet is used for Base-38 encoding in the QR code?,"The Base-38 alphabet is a subset of the 45 available characters (A-Z0-9$%*+./ :-) in the QR code for alphanumeric encoding, with certain characters removed."
What information does the data of the BootReason Event contain?,"The data of the BootReason Event contains the reason for the start-up, represented by the BootReason field."
What happens once commissioning is completed for a Node joining a new Fabric?,"Once commissioning is completed and the Node is properly configured, Administrators on the newly joined Fabric have access to the Node and can perform all administrative tasks."
"What is the behavior of a fabric-filtered list during a read interaction with fabric-filtering disabled, according to the Matter Specification?","With fabric-filtering disabled during a read interaction, the list is reported as a full list with all entries."
What does the RxErrNoFrameCount attribute indicate?,The RxErrNoFrameCount attribute indicates the total number of received unique MAC frame requests that have been dropped as a result of missing or malformed frame contents.
What is StatusResponseMessage?,StatusResponseMessage is a TLV structure used to send a response containing a status code.
"What is the purpose of a transaction ID, and where is it present?","The transaction ID, present in all actions, indicates the logical grouping of those actions."
What is the purpose of the OTA Software Image header?,The purpose of the OTA Software Image header is to provide necessary information for OTA Providers to validate images available for a given OTA Requestor.
What is the purpose of device attestation in Matter security?,"Device attestation ensures that a Matter device cannot join a Matter fabric unless proven genuine, enhancing security and ensuring a uniform and compliant ecosystem."
When is the Report Data Action generated?,"The Report Data Action is generated as part of a Read transaction in direct response to a Read Request action, as part of a Subscribe transaction in direct response to a Subscribe Request action, or as the first action of each synchronized Report Transaction in a Subscribe interaction."
What happens if the HourFormat attribute is null?,"If the HourFormat attribute is null, the hour format is determined by any unit implied through the ActiveLocale attribute. If ActiveLocale is not present, the hour format is unknown."
How many VendorID values are present in the issuer field?,There is exactly zero or one VendorID value present in the issuer field of the PAI certificate.
What attributes are included in the Node Operational Credentials Cluster?,"The attributes included in the Node Operational Credentials Cluster are NOCs, Fabrics, SupportedFabrics, CommissionedFabrics, TrustedRootCertificates, and CurrentFabricIndex."
What is the purpose of a fabric in the Matter specification?,- A fabric is a set of nodes that interact by accessing data model elements. - It is a security domain allowing nodes to be identified and communicate within the domain. - A node can be on one or more fabrics.
What initiates a Write Interaction?,A Write Interaction is initiated when an initiator wishes to modify the values of one or more attributes located on one or more nodes.
What are some additional qualities defined for elements?,- Nullable: Data field can be nullable. - Non-Volatile: Attribute data is persistent. - Fixed: Value is fixed. - Scene: Attribute is part of a scene. - Reportable: Attribute supports reporting. - Changes Omitted: Data changes are not reported. - Singleton: Cluster is a singleton on the node. - !Q: Disallows a specified quality.
"What threat involves a Test House posting incorrect information about a vendor’s product, leading to false product information in the ledger?","Threat T186: Test House posts incorrect information about a vendor’s product. [CM163, CM167]"
How are Secure Channel Protocol messages organized?,Secure Channel Protocol messages are organized based on the underlying sub-protocol using opcode values.
What data fields does the InstantActionWithTransition command have?,"The InstantActionWithTransition command has ActionID, InvokeID, and TransitionTime as its data fields."
How should implementations handle the SubjectsPerAccessControlEntry attribute over time?,Implementations should avoid decreasing the SubjectsPerAccessControlEntry attribute over time to prevent invalidating ACL entries already written. It's recommended to only use the minimum value required and avoid reporting a higher value than necessary.
What is highlighted as a core concept for all protocols and interaction methods in Matter?,Data privacy is highlighted as a core concept for all protocols and interaction methods in Matter.
What does the CertificateChainRequest command do?,"The CertificateChainRequest command is used to request a certificate chain. If the CertificateType is not a valid value per CertificateChainTypeEnum, the command fails with a Status Code of INVALID_COMMAND."
What are some examples of errors that may invalidate a Matter certificate?,"Examples of errors that may invalidate a Matter certificate include: encoding undefined elements, incorrect encoding order, wrong element types, out-of-range lengths, encoding undefined Matter OID values, and invalid Matter Distinguished Names encoding, among others."
What is the behavior of the Access Control Privilege Granting algorithm during the commissioning phase?,The algorithm behaves as if an implicit Access Control Entry were present on the Commissionee to grant Administer privilege for the entire Node.
What is the purpose of a Device Attestation Certificate (DAC) in Matter?,"A DAC proves the authenticity of the manufacturer and certification status of the device’s hardware and software, used during commissioning to admit only trustworthy devices into a Fabric."
What is an alternative mechanism provided by the Descriptor cluster?,The TagList in the Descriptor cluster provides an alternative mechanism for self-description using standardized tags instead of manufacturer-selected strings.
Explain the purpose of the CertificateChainResponse command.,"The CertificateChainResponse command is generated in response to a CertificateChainRequest command. It contains a Certificate field, which is the DER encoded certificate corresponding to the CertificateType field in the CertificateChainRequest command."
What are the main purposes of the Distributed Compliance Ledger project?,"The project aims to serve as a data store for device models' information and their compliance status, a secure distribution point for device metadata provided by vendors, and a secure distribution point for Product Attestation Authorities certificates."
"In the scenario of redundant mains power sources, how are the two sources defined?","In the scenario of redundant mains power sources, two Power Source Clusters are defined, one for each mains source with the same order."
What are some of the principles underlying data privacy requirements mentioned in the chapter?,"Some of the principles underlying data privacy requirements include lawfulness, fairness, and transparency; purpose limitation; data minimization; accuracy; storage limitation; cybersecurity (integrity and confidentiality); and accountability."
"How are NFC tags used in the onboarding process, and what are the requirements for their use?","NFC tags can be used to retrieve the Onboarding Payload, and they must contain the same data as specified in the QR Code Format. The NFC tag must be one of the types defined by NFC Forum and must use the NFC Data Exchange Format (NDEF) with NDEF messages as defined by NFC RTD 1.0. The Onboarding Payload for the NFC tag must use NDEF URI Record Type Definition as defined by NFC RTD URI 1.0."
"In the ""Temp Sensor Client"" example, what node ID is associated with the temperature sensor client?","The node ID associated with the temperature sensor client in the ""Temp Sensor Client"" example is 456789."
"When is the CSRRequest command generated, and what is its purpose?","The CSRRequest command is generated to execute the Node Operational CSR Procedure and return the NOCSR Information in the form of a CSRResponse Command. The CSRNonce field is used in computing the NOCSR Information. If the CSRNonce is malformed, the command fails with an INVALID_COMMAND status code."
How are messages categorized in the Secure Channel and Message Layer?,"Messages are categorized as either secured or unsecured. Secured messages use the Matter message format and have mechanisms for decryption and authentication, while unsecured messages are limited to specific functions like discovery and commissioning initiation."
What is the purpose of section 5.4.1?,The purpose of section 5.4.1 is to describe the process by which a device is discovered in order to commission it onto an operational Fabric.
What is the significance of the SystemTimeStamp field in EventDataIB?,"The SystemTimeStamp field in EventDataIB represents the system timestamp of the event occurrence, and it is optional."
How is the Fabric Index derived?,The Fabric Index is derived by identifying an Operational Group Key associated with the fabric through successful decryption with that key and verification of the Message Integrity Check.
What gaps does this specification address?,"This specification addresses gaps determined by the Data Model Tiger Team, including multi-element message support, synchronized reporting, reducing message types (commands & actions), complex data type support in all messages, events, and interception attack."
What constraints are imposed on the Data field?,The Data field has a constraint of a maximum length of 128 octets.
How are attribute requests processed if no error-free existent paths remain?,"If no error-free existent paths remain after processing, the AttributeRequests are considered empty, and no further action is taken for those paths."
What does the ProductURL Attribute specify?,"The ProductURL Attribute specifies a link to a product-specific webpage, following the syntax specified in RFC 3986. It should resolve to a maintained webpage available throughout the product's lifetime, with a maximum length of 256 ASCII characters."
What type of certificate is exemplified in the examples?,The examples illustrate an Operational Intermediate CA Certificate (ICAC) both in X.509 and Matter TLV formats.
How does Wi-Fi commissioning utilize Soft-AP functionality?,Wi-Fi commissioning utilizes Soft-AP functionality where the device acts as an Access Point (AP) that doesn’t provide Internet connectivity. Standard Wi-Fi AP advertisement and connection protocols are employed for device discovery and credential conveyance.
What is Example 6 about?,Example 6 describes an alarm system where a user can arm or disarm the system using voice commands from a Matter node.
How is the validity of the NOC attested in the case of an Intermediate CA (ICA) issuance?,"If an ICA issues the NOC, the validity of the NOC is attested by the ICA certificate, and the validity of the ICA certificate is attested by the Root CA certificate associated with the issuer of the ICA certificate."
What is the rationale behind the User-Initiated Beacon Detection user journey?,"This user journey allows a user to discover new devices without providing additional information about them, which can be useful when the onboarding payload is hidden or inaccessible on a device already physically installed."
What commands are available in the ICD Management Cluster?,"The available commands are Register Client, Register Client Response, Unregister Client, and Stay Active Request."
Under what conditions may a Write Request action be groupcast?,"If this action is not part of a Timed Write transaction, it MAY be groupcast."
"What is the definition of a ""Subject"" in the context of Access Control?","A ""Subject"" in the context of Access Control refers to the source entity for an action within the Matter ecosystem. It is authenticated using a specific authentication method provided by the Secure Channel architecture. Subjects can include passcodes, source nodes authenticated by CASE sessions, or destination groups authenticated by Operational Group Keys. Subjects play a crucial role in determining access privileges within the Access Control system."
What responses should the client discard?,The client should discard responses containing a Source Node ID for unintended sources and those not matching any in the Valid Proxy List.
What data fields does the StartActionWithDuration command have?,"The StartActionWithDuration command has ActionID, InvokeID, and Duration as its data fields."
What is the GranularityEnum data type used for?,The GranularityEnum data type indicates the granularity of time synchronization errors and is used to describe the level of accuracy in time synchronization.
What is the purpose of the RevokeCommissioning command?,The RevokeCommissioning command is used by a current Administrator to instruct a Node to revoke any active Open Commissioning Window or Open Basic Commissioning Window command.
What authentication modes are defined in the AccessControlEntryAuthModeEnum data type?,"The AccessControlEntryAuthModeEnum data type defines three authentication modes: PASE (Passcode authenticated session), CASE (Certificate authenticated session), and Group (Group authenticated session)."
Which context-specific tag is used to identify the signature field in the Matter certificate structure?,The context-specific tag signature [11] is used to identify the signature field in the Matter certificate structure.
What are access qualities?,"Read, write, invoke, fabric-scoped, and fabric-sensitive. Elements inherit privileges from the next highest element."
What is the meaning of status code 0x7F?,Status code 0x7F signifies that the endpoint indicated is unsupported on the node.
What is the CheckInProtocolSupport Feature used for?,"When this feature is supported, the device is required to support all associated commands and attributes necessary for proper implementation of the Check-In Protocol."
What is the TLV Type for AttributePathIB?,The TLV Type for AttributePathIB is List.
What does the RadioFaultChange event indicate?,The RadioFaultChange event indicates a change in the set of radio faults currently detected by the Node.
What is the constraint regarding the IsUrgent field in the Path field of EventDataIB?,The Path field in EventDataIB must not have an IsUrgent field present.
What is the ID and name of the ResetCounts command?,"The ID of the command is 0x00, and its name is ResetCounts."
How does a subscription proxy reduce demands?,"By delegating all subscriptions to the proxy, it reduces energy and memory demands on the source device."
Is persistence of subscription details across reboots necessary?,"Persistence of subscription details across reboots is not necessary, but an implementation may choose to do so."
Under what circumstances does the receiver of an encrypted message not know the sender’s last message counter?,"The receiver does not know the sender’s last message counter in three scenarios: when the encrypted message is the first received from a peer, when the device rebooted without persisting the Group Peer State Table content, and when the entry for the peer in the Group Peer State Table was expunged due to the table being full."
What does the ClusterRevision attribute indicate?,The ClusterRevision attribute indicates the revision of the server cluster specification supported by the cluster instance.
What constraint applies to the Path field in EventStatusIB?,The Path field in EventStatusIB must indicate a concrete path.
What is the OID for the matter-oid-vid attribute type?,"The OID for the matter-oid-vid attribute type is 1.3.6.1.4.1.3724, and it allows UTF8String and PrintableString types in X.509 certificates."
What happens during the commissioning phase with the AddNOC command?,The AddNOC command automatically creates an Access Control Entry granting Administer privilege for the entire Node to the appropriate CASE authenticated Subject.
How is the passcode utilized in the PASE protocol?,"In the PASE protocol, the passcode is used as the password in the Password-Based Key Derivation Function (PBKDF) to generate shared keys."
Which privilege levels should Commissioners and Administrators carefully control for safety-critical systems like Door Locks and Smoke CO Alarms?,"Commissioners and Administrators SHOULD carefully control which Nodes get Administer, Manage, or Operate privilege, especially for safety-critical systems like Door Locks and Smoke CO Alarms. [CM244 for T17, T20, T59, T94, T230]"
What benefits does Matter provide for developers?,"Matter serves as the unified standard for connected objects, providing a single development path to a large market, ensuring more reliable user experiences, and allowing developers to focus on innovation and increase return on investment (ROI)."
What is the algorithm used in the subjectPublicKeyInfo?,The algorithm used in the subjectPublicKeyInfo field of the PAA certificate is the object identifier for prime256v1.
Where can more information about the assigned UUID be found?,More information about the assigned UUID can be found at https://www.bluetooth.com/specifications/assigned-numbers/16-bit-uuids-for-sdos.
When may protection against physical attacks be needed for Devices?,"Protection against physical attacks (especially those that impact cybersecurity) MAY be needed for some Devices, as determined by the manufacturer. [CM62 for T60]"
Can the SupportedCalendarTypes attribute contain duplicate entries?,"No, the SupportedCalendarTypes attribute cannot contain duplicate entries."
What is the purpose of the BlockQuery message?,The BlockQuery message is sent by the driving Receiver to request the next block of data. It implies a BlockAck of the previous block if no BlockAck was explicitly sent.
What action does the initiator take if the verification fails?,"If the verification fails (Success = FALSE), the initiator sends a status report indicating the failure and performs no further processing."
What does the TxOtherCount attribute indicate?,The TxOtherCount attribute indicates the total number of unique MAC frame transmission requests that are not counted by any other attribute.
What are the contents of the issuer field in the DAC?,"The contents of the issuer field in the DAC are: CN = Matter Test PAI, 1.3.6.1.4.1.37244.2.1 = FFF1, 1.3.6.1.4.1.37244.2.2 = 8000."
What is the subject field of the DAC?,The subject field of the DAC is: CN = Matter Test DAC 0001 Mvid:FFF1 Mpid:8000.
What is the purpose of the Block message in a BDX data transfer?,The Block message serves as the container for the actual bulk transfer data. It is sent in ascending and sequential block counter order and can have a payload length that does not exactly match the negotiated max block size.
What are the steps for ECM commissioning?,"1. The current Administrator tells the Node(s) to start commissioning with a new passcode and receives confirmation. If some Nodes are asleep, the Administrator can prompt the user to wake them up. 2. The Administrator presents the Onboarding Payload. 3. The new Administrator completes the commissioning process within a set time using the provided information."
What does the WiredNominalVoltage Attribute indicate?,"It indicates the nominal voltage expected to be provided by the hard-wired source, in mV (millivolts)."
What is the purpose of the Exchange Layer in the Secure Channel and Message Layer?,"The Exchange Layer tracks related messages to facilitate small, discrete transactions and provides a means to multiplex multiple concurrent transactions over a given session. It also integrates the Message Reliability Protocol (MRP) for reliability over UDP transports."
acronym of ZCL ,Zigbee Cluster Library
How should implementations handle the TargetsPerAccessControlEntry attribute over time?,Implementations should avoid decreasing the TargetsPerAccessControlEntry attribute over time to prevent invalidating ACL entries already written. It's recommended to only use the minimum value required and avoid reporting a higher value than necessary.
What is the purpose of the 'ConnectNetwork' command?,The 'ConnectNetwork' command attempts to connect to a network using the specified network interface.
What are some constraints for OTA Software Image transfer using the BDX protocol?,"Some constraints for OTA Software Image transfer using the BDX protocol include the use of Receiver-Drive mode, Asynchronous mode, and specific block size constraints (Section OTA Software Image transfer examples)."
What does the Sequence Value indicate?,"The Sequence Value indicates an action involving a sequence of events or states of associated endpoints, such as a wake-up experience."
How does the responder validate the destinationId in Sigma1 messages?,"The responder validates the incoming destinationId by traversing all its installed Node Operational Certificates (NOCs) to gather associated trusted roots' public keys. It then generates a candidateDestinationId for each tuple of <Root Public Key, Fabric ID, Node ID>. The responder verifies that the incoming destinationId matches one of the candidateDestinationIds. If there's no match, it sends a failure status report; otherwise, it records the associated trusted root, Fabric ID, Node ID, and IPK for subsequent use."
How are hexadecimal and binary numbers represented in the specification?,"Hexadecimal numbers are prefixed with ""0x"" and binary numbers with ""0b"". Binary numbers are grouped in 4-bit groups, separated by a space, e.g., 0b0000 1111 represents the decimal number 15."
How are credentials for generating operational group keys managed?,"Credentials required to generate operational group keys are accessible only to Nodes with a certain level of privilege, typically those considered members of the group. Access to these credentials is restricted to prevent unauthorized access, ensuring that only trusted Nodes can obtain the keys. Access to shared keys is designed to be computationally infeasible for non-trusted parties, barring software errors or compromise of a privileged Node."
What is the significance of SuppressResponse in the Report Data Action?,"SuppressResponse may be set to TRUE for a Report Data action that initiates a Report transaction conveying an empty list of AttributeReports and EventReports. Otherwise, it shall be set to TRUE for a Report Data action that is part of a Read transaction and set to FALSE for a Report Data action that is part of a Subscribe transaction."
What is the PowerSourceStatusEnum type derived from?,It is derived from enum8.
What operations must BTP Clients perform synchronously in the context of the BTP GATT service?,"BTP Clients must perform certain GATT operations synchronously, including GATT discovery, subscribe, and unsubscribe operations. GATT discovery, subscribe, or unsubscribe must not be initiated while the result of a previous operation remains outstanding."
What are the overridden element requirements for the On/Off Light device?,The overridden element requirements for the On/Off Light device are: - Identify Command TriggerEffect - Scenes Command EnhancedAd dScene - Scenes Command EnhancedViewScene - Scenes Command CopyScene - On/Off Feature - Level Control Feature - Level Control Attribute CurrentLevel - Level Control Attribute MinLevel - Level Control Attribute MaxLevel
What is the EnableKey field used for in the TestEventTrigger command?,The EnableKey field is a 128-bit value provided by the client to match a value chosen by the manufacturer and configured on the server using manufacturer-specific means.
What is a QR Code?,"A QR Code is a machine-readable optical label that encodes information about the item it is attached to, facilitating easy access to this information."
How can a user disarm the alarm system in Example 6?,"In Example 6, the user can disarm the alarm system by using the DisableAction command, or they can temporarily disarm it for a period using the DisableActionWithDuration command."
How does Matter use GitHub issues?,Matter uses GitHub issues for problem descriptions or feature requests. All work contributed to the repository in the form of pull requests (PR) should be under the auspices of some open issue. Issues also help form an important basis for release notes.
"How are request paths expanded, and what is the outcome of this expansion process, as discussed in this section?","Request paths may undergo expansion to generate a list of existent paths, potentially replacing wildcard paths with complete lists of existent paths, as detailed in this section."
"What do concrete paths represent within the context of this part of the specification, where path definitions are provided?","Concrete paths signify individual element instances, such as events, commands, attributes, struct fields, or list entries, as described in this section."
How does Matter impact retailers?,"Matter acts as the IoT compatibility standard and mark, driving category growth, streamlining the purchasing process, enhancing consumer confidence and experiences, and reducing training and operational expenses."
What is the purpose of DeltaSystemTimestamp?,DeltaSystemTimestamp is present when delta encoding the System timestamp relative to a prior event in a given stream of events.
What happens if HasPBKDFParameters is set to True?,"If HasPBKDFParameters is set to True, the responder does not return the PBKDF parameters."
How does the initiator set the Resumption ID in the Session Context in CASE?,"After successful verification, the initiator sets the Resumption ID in the Session Context to the value of TBEData2.resumptionID."
How can a Node Operational Certificate (NOC) be renewed?,A NOC can be renewed by an Administrator with Administer privileges on the Node to be updated by sending a CSRRequest Command.
"What threat involves an attacker accessing an Observer Node or Validator Node with unauthenticated READ CLI protocol, leading to a potential DoS or DDoS attack and diminished DCL capacity?","Threat T180: Attacker accesses Observer Node or Validator Node with unauthenticated READ CLI protocol. [CM163, CM166]"
How are structure types encoded?,Structure types are encoded using the TLV structure type.
What is the purpose of the Extension attribute?,The Extension attribute allows Administrators to store arbitrary data related to fabric's Access Control Entries.
What are examples of valid CustomFlow URLs?,- URL without query string: https://company.example/matter/flow/vFFF1p1234 - URL with basic query scheme: https://company.example/matter/flow?vid=FFF1&pid=1234 - URL with MTop=_ for QR code: https://company.example/matter/flow?vid=FFF1&pid=1234&MTop=_
Provide an example of a single event.,"EventDataElement = { Path = [[ Endpoint = 10, Cluster = Disco Ball, EventID = Started ]], EventNumber = 1001, Priority = INFO, EpochTimestamp = 102340234293, Data = { /* Event-specific data */ } }"
What are examples of conditions that will result in a CONSTRAINT_ERROR when creating or updating an Access Control Entry?,"Examples of conditions that will result in a CONSTRAINT_ERROR include: an invalid Privilege enum value, an invalid AuthMode enum value, using PASE AuthMode (reserved for future use), having an invalid Subjects element (e.g., illegal CAT with CASE AuthMode), having an invalid Targets element (e.g., no field present, both Endpoint and DeviceType fields present), and having invalid field combinations (e.g., Administer Privilege with Group AuthMode)."
What action should Nodes take if commissioning has not been concluded after a specified time period?,Nodes SHALL stop both commissioning and unsecured rendezvous actions after a specified time period from the beginning of the commissioning mode when commissioning has not been concluded.
What information does the Actions Cluster provide?,"The Actions Cluster provides a standardized way for a Node, typically a Bridge, to expose information about logical grouping of endpoints, named actions that can be performed on such groups of endpoints, commands to trigger these actions, and events to receive feedback on the state of these actions."
What is the purpose of cluster classification?,Cluster classification defines a cluster as either a utility cluster or an application cluster.
What optimization is suggested regarding IPv4 addresses in DNS-SD?,"Matter software discovering other instances should not expect any IPv4 addresses included in responses, optimizing the content of service discovery messages."
How may Crypto_TRNG() be implemented according to the protocol?,"Crypto_TRNG() may follow NIST 800-90B implementation guidelines, but alternate implementations are also permitted."
What are the IPv6 network configuration requirements for Matter Nodes?,Matter Nodes configure a link-local IPv6 address and support configuration of at least three routable IPv6 addresses.
"What distinguishes an existent path from other types of paths, according to this part of the specification?","Existent paths are concrete paths indicating single, existing instances on specified nodes, as distinguished in this section."
What information is provided by the Vendor Schema?,"The Vendor Schema provides contact information associated with the vendor, such as Company legal name, preferred brand name, company landing page URL, etc."
What is the current status of Matter's development?,"Matter's development process is open and transparent, with the GitHub repository containing implementations of security foundations, message framing, interaction model, and data model, supporting multiple transports like Wi-Fi and Thread."
What does the Application layer in Matter protocol do?,"The Application layer handles the high-order business logic of a device, such as turning a light bulb on/off and adjusting its color characteristics."
Does Matter specify the format for firmware image signing certificates?,"No, Matter does not specify how firmware images are signed, and the implementation of firmware image signing is manufacturer-specific. However, the Matter TLV certificates have affordances for encoding firmware signing certificates."
What command should the OTA Requestor use to proceed with applying a software update?,The OTA Requestor should use the ApplyUpdateRequest command to proceed with applying a software update (Section UpdateToken usage).
What does the 'EndpointList' attribute indicate?,The 'EndpointList' attribute indicates a list of endpoints powered by the source defined by this cluster.
What is the purpose of the Local Message Counter in secure unicast communication?,"The Local Message Counter is the Secure Session Message Counter for outbound messages, which is initialized at successful session establishment and used to track the sequence of messages sent by the local node."
What does the LatestValue field represent?,The LatestValue field represents the latest value of the changed extension.
How should a Commissioner perform a Wi-Fi scan to discover a device?,"Scan all allowed 2.4 GHz Wi-Fi channels, prioritizing channels 1, 6, and 11."
What does the PatternRequest command do?,The PatternRequest command is used to invoke patterns for operating the disco ball.
What considerations are mentioned for multi-fabric settings?,"In multi-fabric settings, proxies should ideally be commissioned into all fabrics containing sources needing proxying to ensure proper functionality."
What are the required bits set in the Key Usage extension?,"In the Key Usage extension, both the Certificate Sign and CRL Sign bits are set, indicating that the certificate can be used for signing certificates and CRLs."
What physical characteristic should the setup code of a Device ideally have when installed?,"Where practical, the setup code SHOULD NOT be photograph-able or visible when installed (e.g., QR code hidden with a flap). [CM89 for T90]"
What types of local communications does Matter support?,"Matter supports local communications spanning one or more IPv6 subnets, including Wi-Fi/Ethernet subnets or low power and lossy networks (LLN) subnets, with Thread as the supported LLN standard."
"In the Matter Specification, what is the specified maximum count for an octet string and list data types?",Both can have a finite count from 0 to 65534.
What is the role of Access Control Entries (ACEs) within an Access Control List (ACL)?,"Access Control Entries (ACEs) within an ACL codify the access policy for a Node. They specify the privilege level granted to a Subject (entity) for interacting with specific Targets (Endpoint Clusters) on that Node. ACEs contain information such as the FabricIndex scoping, Privilege level (e.g., View, Operate, Manage, Administer), target Clusters, source Subjects, and Authentication Mode, enabling fine-grained access control."
What does Matter use to achieve interoperability between devices?,"Matter uses a common application layer and data model to deliver interoperability, enabling devices to communicate across multiple IP network technologies."
What interactions with attributes/events/commands on the Matter side are recommended?,"Interactions with these attributes/events/commands on the Matter side, towards a Controller using the sensor/switch data, SHOULD be identical to interactions with corresponding attributes/events/commands in native Matter sensors and switches, such as attribute readout, subscription, proxying, and eventing."
What TLV schema does the payload of the Pake1 message follow?,The payload of the Pake1 message follows the pake-1-struct TLV schema.
